"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H1c10"	"H1"	"H"	"R0"	"R"
"H1c11"	"H1"	"H"	"R0"	"R"
"H1c12"	"H1"	"H"	"R0"	"R"
"H1c13"	"H1"	"H"	"R0"	"R"
"H1c14"	"H1"	"H"	"R0"	"R"
"H1c15"	"H1"	"H"	"R0"	"R"
"H1c16"	"H1"	"H"	"R0"	"R"
"H1c17"	"H1"	"H"	"R0"	"R"
"H1c18"	"H1"	"H"	"R0"	"R"
"H1c19"	"H1"	"H"	"R0"	"R"
"H1c20"	"H1"	"H"	"R0"	"R"
"H1c21"	"H1"	"H"	"R0"	"R"
"H1c22"	"H1"	"H"	"R0"	"R"
"H1e"	"H1"	"H"	"R0"	"R"
"H1e1"	"H1"	"H"	"R0"	"R"
"H1e1a"	"H1"	"H"	"R0"	"R"
"H1e1a*"	"H1"	"H"	"R0"	"R"
"H1e1a1"	"H1"	"H"	"R0"	"R"
"H1e1a2"	"H1"	"H"	"R0"	"R"
"H1e1a3"	"H1"	"H"	"R0"	"R"
"H1e1a4"	"H1"	"H"	"R0"	"R"
"H1e1a5"	"H1"	"H"	"R0"	"R"
"H1e1a6"	"H1"	"H"	"R0"	"R"
"H1e1a7"	"H1"	"H"	"R0"	"R"
"H1e1a+16278"	"H1"	"H"	"R0"	"R"
"H1e1a8"	"H1"	"H"	"R0"	"R"
"H1e1b"	"H1"	"H"	"R0"	"R"
"H1e1b1"	"H1"	"H"	"R0"	"R"
"H1e1b1a"	"H1"	"H"	"R0"	"R"
"H1e1b1a*"	"H1"	"H"	"R0"	"R"
"H1e1b1b"	"H1"	"H"	"R0"	"R"
"H1e1c"	"H1"	"H"	"R0"	"R"
"H1e2"	"H1"	"H"	"R0"	"R"
"H1e2*"	"H1"	"H"	"R0"	"R"
"H1e2a"	"H1"	"H"	"R0"	"R"
"H1e2b"	"H1"	"H"	"R0"	"R"
"H1e2c"	"H1"	"H"	"R0"	"R"
"H1e2d"	"H1"	"H"	"R0"	"R"
"H1e+16129"	"H1"	"H"	"R0"	"R"
"H1e3"	"H1"	"H"	"R0"	"R"
"H1e4"	"H1"	"H"	"R0"	"R"
"H1e4a"	"H1"	"H"	"R0"	"R"
"H1e5"	"H1"	"H"	"R0"	"R"
"H1e5a"	"H1"	"H"	"R0"	"R"
"H1e5b"	"H1"	"H"	"R0"	"R"
"H1e6"	"H1"	"H"	"R0"	"R"
"H1e7"	"H1"	"H"	"R0"	"R"
"H1e8"	"H1"	"H"	"R0"	"R"
"H1e8*"	"H1"	"H"	"R0"	"R"
"H1e8a"	"H1"	"H"	"R0"	"R"
"H1h"	"H1"	"H"	"R0"	"R"
"H1h1"	"H1"	"H"	"R0"	"R"
"H1h2"	"H1"	"H"	"R0"	"R"
